2017-06-26 11:18:00,854 [Worker-102] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:18:00,855 [Worker-102] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:19:29,403 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:19:29,406 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:19:29,408 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:19:29,409 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:19:54,626 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:19:54,628 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:19:54,629 [Worker-101] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:19:54,630 [Worker-101] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:22:39,082 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:22:39,083 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:22:39,085 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:22:39,086 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:29:17,807 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:29:17,808 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:29:17,810 [Worker-111] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:29:17,811 [Worker-111] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:29:42,780 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:29:42,781 [Worker-113] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:29:42,783 [Worker-113] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:29:42,784 [Worker-113] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:31:51,082 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:31:51,084 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:31:51,086 [Worker-110] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:31:51,087 [Worker-110] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:35:04,542 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:35:04,544 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:35:04,545 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:35:04,546 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:38:55,775 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:38:55,776 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:38:55,778 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:38:55,779 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:39:13,190 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:39:13,191 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:39:13,193 [Worker-122] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:39:13,194 [Worker-122] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:39:53,427 [Worker-120] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:39:53,428 [Worker-120] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:39:53,431 [Worker-120] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:39:53,432 [Worker-120] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:40:01,115 [Worker-122] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-06-26 11:40:01,578 [Worker-122] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:ERSReboot:0.0.1-SNAPSHOT @ C:\Users\Chantel\my_git_repos\1705May15Java\Chantel_Boor_Code\ERSReboot\ERSReboot\pom.xml.
2017-06-26 11:40:01,844 [Worker-122] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ERSReboot/src/main/java
2017-06-26 11:40:01,844 [Worker-122] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ERSReboot/src/main/resources
2017-06-26 11:40:01,845 [Worker-122] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ERSReboot/src/test/java
2017-06-26 11:40:01,845 [Worker-122] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ERSReboot/src/test/resources
2017-06-26 11:40:01,970 [Worker-122] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-06-26 11:40:02,300 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:40:02,302 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:40:02,311 [Worker-119] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:40:02,312 [Worker-119] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:40:19,233 [Worker-124] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:40:19,236 [Worker-124] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:40:19,239 [Worker-124] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:40:19,240 [Worker-124] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:40:25,692 [Worker-123] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-06-26 11:40:26,054 [Worker-123] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.revature:ERSReboot:0.0.1-SNAPSHOT @ C:\Users\Chantel\my_git_repos\1705May15Java\Chantel_Boor_Code\ERSReboot\ERSReboot\pom.xml.
2017-06-26 11:40:26,229 [Worker-123] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ERSReboot/src/main/java
2017-06-26 11:40:26,230 [Worker-123] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ERSReboot/src/main/resources
2017-06-26 11:40:26,231 [Worker-123] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ERSReboot/src/test/java
2017-06-26 11:40:26,231 [Worker-123] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /ERSReboot/src/test/resources
2017-06-26 11:40:26,317 [Worker-123] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-06-26 11:40:26,807 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:40:26,809 [Worker-121] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:40:26,825 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:40:26,827 [Worker-121] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:42:01,240 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:42:01,242 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-06-26 11:42:01,244 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:42:01,245 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:44:48,011 [Worker-127] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-beans/4.2.5.RELEASE/spring-beans-4.2.5.RELEASE-sources.jar
2017-06-26 11:44:48,257 [Worker-120] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/springframework/spring-beans/4.2.5.RELEASE/spring-beans-4.2.5.RELEASE-sources.jar
2017-06-26 11:44:56,024 [Worker-120] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/springframework/spring-beans/4.2.5.RELEASE/spring-beans-4.2.5.RELEASE-sources.jar
2017-06-26 11:44:56,066 [Worker-120] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for org.springframework:spring-beans:4.2.5.RELEASE
2017-06-26 11:44:56,326 [Worker-120] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:44:56,328 [Worker-120] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-26 11:44:56,329 [Worker-120] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-26 11:44:56,330 [Worker-120] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
